,Unnamed: 0,Unnamed: 0.1,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,FIPS,Last_Update,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
204,204,204,"Alachua, FL",US,29.7938,-82.4944,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
205,205,205,"Nassau, FL",US,30.5927,-81.8224,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
206,206,206,"Pasco, FL",US,28.3232,-82.4319,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
207,207,207,"Dallas, TX",US,32.7767,-96.797,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
208,208,208,"Tarrant, TX",US,32.7732,-97.3517,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
209,209,209,"Montgomery, TX",US,30.3883,-95.6963,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
210,210,210,"Middlesex, NJ",US,40.5726,-74.4927,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
211,211,211,"Jefferson, CO",US,39.58,-105.2663,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
212,212,212,"Multnomah, OR",US,45.5146,-122.5863,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
213,213,213,"Polk, OR",US,44.9267,-123.4919,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
214,214,214,"Deschutes, OR",US,43.8325,-121.2617,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
215,215,215,"McHenry, IL",US,42.3334,-88.2668,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
216,216,216,"Lake, IL",US,42.3689,-87.8272,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
217,217,217,"Bucks, PA",US,40.4108,-75.2479,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
218,218,218,"Hanover, VA",US,37.7772,-77.5161,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
219,219,219,"Lancaster, SC",US,34.7253,-80.6771,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
220,220,220,"Sullivan, TN",US,36.4933,-82.3452,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
221,221,221,"Johnson, IN",US,39.4638,-86.1345,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
222,222,222,"Howard, IN",US,40.4483,-86.1345,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
223,223,223,"St. Joseph, IN",US,41.6228,-86.3377,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
224,224,224,"Knox, NE",US,42.6712,-97.8722,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
225,225,225,"Stark, OH",US,40.8685,-81.2519,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
226,226,226,"Anoka, MN",US,45.3293,-93.2197,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
227,227,227,"Olmsted, MN",US,43.9952,-92.3814,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
